Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,positive,negative,neutral,compound,tb_Pol,length,numb_pos,numb_neg,index,gamestop_unscaled,gamestop_monthly,isPartial_x,scale_x,gamestop,gme_unscaled,gme_monthly,isPartial_y,scale_y,gme,Suma
2020-09-01,7.300000190734863,7.820000171661377,6.769999980926514,7.650000095367432,23158600,0.0,0.0,0.09637230000000001,0.0541702,0.8494360000000001,0.119879,0.0244385,94,73,21,0,17,,,,,88,,,,,105
2020-09-02,7.800000190734863,8.050000190734863,7.110000133514404,7.710000038146973,13011100,0.0,0.0,0.10405299999999999,0.0585067,0.837467,0.07875599999999999,0.0321711,75,60,15,1,19,,,,,64,,,,,83
2020-09-03,7.880000114440918,8.449999809265137,7.239999771118164,7.820000171661377,14344500,0.0,0.0,0.100578,0.104554,0.794892,0.0505193,0.030670799999999998,83,56,27,2,24,,,,,80,,,,,104
2020-09-04,7.78000020980835,7.920000076293945,7.170000076293945,7.650000095367432,7662000,0.0,0.0,0.0935,0.0689286,0.8375,0.029610700000000004,-0.049475599999999995,28,21,7,3,31,,,,,58,,,,,89
2020-09-08,7.550000190734863,8.279999732971191,7.480000019073486,7.699999809265137,9816600,0.0,0.0,0.09639389999999999,0.0681818,0.8354239999999999,0.088797,0.0825218,66,48,18,7,18,7.0,,0.07,1.2600000000000002,68,0.0,,0.0,0.0,86
2020-09-09,7.960000038146973,7.989999771118164,7.309999942779541,7.349999904632568,9068100,0.0,0.0,0.0991744,0.0868923,0.813897,0.0229615,0.00282654,195,137,58,8,19,7.0,,0.07,1.33,71,0.0,,0.0,0.0,90
2020-09-10,6.650000095367432,6.949999809265137,6.190000057220459,6.230000019073486,15558300,0.0,0.0,0.112791,0.075403,0.811791,0.06054630000000001,0.0359478,67,50,17,9,18,7.0,,0.07,1.2600000000000002,62,0.0,,0.0,0.0,80
2020-09-11,6.260000228881836,6.329999923706055,5.869999885559082,6.090000152587891,6061200,0.0,0.0,0.08305,0.09135,0.82555,0.034464999999999996,-0.00579631,20,13,7,10,19,7.0,,0.07,1.33,55,0.0,,0.0,0.0,74
2020-09-14,6.800000190734863,7.0,6.429999828338623,6.909999847412109,10119000,0.0,0.0,0.0733676,0.0745882,0.852044,0.0384471,0.017537,68,50,18,13,17,12.0,,0.12,2.04,65,1.0,,0.01,0.65,82
2020-09-15,6.860000133514404,7.260000228881836,6.690000057220459,7.090000152587891,5743500,0.0,0.0,0.0961875,0.0545,0.849333,0.044920800000000004,0.0516853,48,38,10,14,18,12.0,,0.12,2.16,72,1.0,,0.01,0.72,90
2020-09-16,7.03000020980835,9.039999961853027,7.03000020980835,8.680000305175781,19256300,0.0,0.0,0.089397,0.07280299999999999,0.8378059999999999,0.035438199999999996,0.00587414,330,253,77,15,34,12.0,,0.12,4.08,65,1.0,,0.01,0.65,99
2020-09-17,8.569999694824219,9.770000457763672,8.40999984741211,9.199999809265137,17026700,0.0,0.0,0.0901992,0.07670679999999999,0.833098,0.0456707,0.00662459,266,180,86,16,95,12.0,,0.12,11.4,87,1.0,,0.01,0.87,182
2020-09-18,9.199999809265137,9.770000457763672,8.90999984741211,9.470000267028809,17407500,0.0,0.0,0.107302,0.069151,0.8235309999999999,0.118171,0.029360300000000002,245,174,71,17,44,12.0,,0.12,5.2799999999999985,68,1.0,,0.01,0.68,112
2020-09-21,9.350000381469727,9.600000381469727,8.380000114440918,8.75,7639800,0.0,0.0,0.126,0.06117859999999999,0.812821,0.153282,0.019132800000000002,28,19,9,20,25,14.0,,0.14,3.5000000000000004,60,1.0,,0.01,0.6,85
2020-09-22,10.449999809265137,11.170000076293945,9.899999618530273,10.5600004196167,34752500,0.0,0.0,0.09371089999999999,0.057609400000000005,0.8486799999999999,0.069957,0.0538505,128,96,32,21,57,14.0,,0.14,7.98,100,1.0,,0.01,1.0,157
2020-09-23,10.600000381469727,10.859999656677246,9.920000076293945,10.039999961853027,10651200,0.0,0.0,0.10928099999999999,0.05733330000000001,0.8334030000000001,0.14568599999999998,0.0341358,231,178,53,22,24,14.0,,0.14,3.3600000000000003,93,1.0,,0.01,0.93,117
2020-09-24,9.710000038146973,9.8100004196167,9.010000228881836,9.140000343322754,7938800,0.0,0.0,0.104929,0.0588265,0.8362649999999999,0.110751,0.040636900000000004,98,75,23,23,32,14.0,,0.14,4.48,60,1.0,,0.01,0.6,92
2020-09-25,9.1899995803833,10.180000305175781,9.100000381469727,10.020000457763672,7515200,0.0,0.0,0.102906,0.05604119999999999,0.841065,0.154436,0.0500477,170,129,41,24,100,14.0,,0.14,14.000000000000002,66,1.0,,0.01,0.66,166
2020-09-28,10.15999984741211,10.260000228881836,9.550000190734863,10.09000015258789,6764300,0.0,0.0,0.10012,0.049458999999999996,0.850426,0.137473,0.0378557,183,143,40,27,19,6.0,,0.06,1.14,66,0.0,,0.0,0.0,85
2020-09-29,10.0,10.649999618530273,9.930000305175781,10.350000381469727,5237600,0.0,0.0,0.0954237,0.0695339,0.835034,0.08540249999999999,0.051267099999999996,118,89,29,28,19,6.0,,0.06,1.14,60,0.0,,0.0,0.0,79
2020-09-30,10.25,10.760000228881836,10.0600004196167,10.199999809265137,6079000,0.0,0.0,0.08936260000000001,0.05757140000000001,0.853066,0.110945,4.7393999999999994e-05,91,68,23,29,20,6.0,,0.06,1.2,64,0.0,,0.0,0.0,84
2020-10-01,10.09000015258789,10.25,9.6899995803833,9.770000457763672,4554100,0.0,0.0,0.0876016,0.08764060000000001,0.824773,0.041875,-0.0169903,128,88,40,30,72,6.0,,0.06,4.32,20,0.0,,0.0,0.0,92
2020-10-02,9.380000114440918,9.779999732971191,9.300000190734863,9.390000343322754,4340500,0.0,0.0,0.11849200000000001,0.0947692,0.7867689999999999,0.133205,0.0458223,65,48,17,31,91,6.0,,0.06,5.46,24,0.0,,0.0,0.0,115
2020-10-05,9.4399995803833,9.59000015258789,9.25,9.460000038146973,2805000,0.0,0.0,0.0702105,0.10473699999999998,0.825053,-0.0162298,-0.040306800000000004,57,38,19,34,74,7.0,,0.07,5.1800000000000015,17,1.0,,0.01,0.17,91
2020-10-06,9.5600004196167,9.84000015258789,9.100000381469727,9.130000114440918,4535400,0.0,0.0,0.100073,0.0724878,0.827415,0.0053438999999999995,0.0676058,41,32,9,35,74,7.0,,0.07,5.1800000000000015,21,1.0,,0.01,0.21,95
2020-10-07,9.229999542236328,9.5600004196167,9.170000076293945,9.359999656677246,3308600,0.0,0.0,0.0673182,0.0451136,0.887545,0.0683295,0.024080599999999997,44,35,9,36,74,7.0,,0.07,5.1800000000000015,22,1.0,,0.01,0.22,96
2020-10-08,9.539999961853027,13.640000343322754,9.1899995803833,13.489999771118164,76453600,0.0,0.0,0.101271,0.0786698,0.8200639999999999,0.05684730000000001,0.0279121,1996,1459,537,37,82,7.0,,0.07,5.74,53,1.0,,0.01,0.53,135
2020-10-09,12.829999923706055,14.800000190734863,11.899999618530273,12.020000457763672,77152800,0.0,0.0,0.10094600000000001,0.0763925,0.8226680000000001,0.07019860000000001,0.0241016,3228,2349,879,38,100,7.0,,0.07,7.000000000000001,100,1.0,,0.01,1.0,200
2020-10-12,11.65999984741211,12.770000457763672,11.399999618530273,11.800000190734863,23655700,0.0,0.0,0.10054600000000001,0.06940930000000001,0.830034,0.082639,0.012539,623,472,151,41,78,7.0,,0.07,5.460000000000001,29,1.0,,0.01,0.29,107
2020-10-13,11.729999542236328,12.420000076293945,11.649999618530273,11.880000114440918,10179700,0.0,0.0,0.109802,0.072246,0.817956,0.07932539999999999,0.0500691,504,371,133,42,87,7.0,,0.07,6.090000000000002,38,1.0,,0.01,0.38,125
2020-10-14,12.670000076293945,12.680000305175781,12.050000190734863,12.25,10761400,0.0,0.0,0.100898,0.0570062,0.8421,0.101061,0.0424014,482,379,103,43,74,7.0,,0.07,5.1800000000000015,37,1.0,,0.01,0.37,111
2020-10-15,11.989999771118164,15.100000381469727,11.989999771118164,13.829999923706055,39894800,0.0,0.0,0.10655,0.0677717,0.82568,0.0792786,0.039462300000000006,1559,1209,350,44,77,7.0,,0.07,5.3900000000000015,48,1.0,,0.01,0.48,125
2020-10-16,13.770000457763672,13.899999618530273,13.079999923706055,13.3100004196167,11651600,0.0,0.0,0.0994608,0.07285520000000001,0.8276879999999999,0.0681187,0.0484195,753,546,207,45,85,7.0,,0.07,5.95,35,1.0,,0.01,0.35000000000000003,120
2020-10-19,13.4399995803833,14.5,13.380000114440918,13.90999984741211,13169100,0.0,0.0,0.102149,0.06131709999999999,0.8365370000000001,0.0875703,0.048756,350,272,78,48,72,6.0,,0.06,4.32,41,1.0,,0.01,0.41,113
2020-10-20,14.029999732971191,14.140000343322754,13.670000076293945,13.859999656677246,6604000,0.0,0.0,0.106955,0.056387400000000004,0.836667,0.108346,0.0663686,333,262,71,49,73,6.0,,0.06,4.38,32,1.0,,0.01,0.32,105
2020-10-21,13.899999618530273,14.420000076293945,13.800000190734863,14.100000381469727,5361900,0.0,0.0,0.101381,0.06466240000000001,0.8339610000000001,0.062425,0.0559461,388,298,90,50,66,6.0,,0.06,3.96,27,1.0,,0.01,0.27,93
2020-10-22,14.199999809265137,15.869999885559082,14.1899995803833,14.90999984741211,16212200,0.0,0.0,0.0965645,0.058809600000000004,0.844619,0.102164,0.0374658,767,601,166,51,64,6.0,,0.06,3.84,22,1.0,,0.01,0.22,86
2020-10-23,15.050000190734863,15.380000114440918,14.550000190734863,15.0,6507300,0.0,0.0,0.106976,0.060596199999999996,0.832399,0.0976086,0.0491648,421,321,100,52,79,6.0,,0.06,4.74,27,1.0,,0.01,0.27,106
2020-10-26,14.930000305175781,15.449999809265137,13.260000228881836,13.449999809265137,13376300,0.0,0.0,0.111725,0.0790683,0.809215,0.08752230000000001,0.027091000000000004,600,434,166,55,68,6.0,,0.06,4.08,30,0.0,,0.0,0.0,98
2020-10-27,13.710000038146973,13.710000038146973,12.359999656677246,12.6899995803833,7231000,0.0,0.0,0.09855080000000001,0.0799082,0.821535,0.0523236,0.0201077,512,366,146,56,74,6.0,,0.06,4.44,34,0.0,,0.0,0.0,108
